Analyzed file:	F:\Learning\Ьрушёђ№\Video for disser\mega3.mp4
Object's on frame in detect_filter:	0
Frame Й	299 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	300 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	301 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	302 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	303 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	304 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	305 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (137, -26)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (137, -26)]
Frame Й	306 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	307 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	308 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [92 x 184 from (445, 114)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [92 x 184 from (445, 114)]
Frame Й	309 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	310 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (139, -7)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [101 x 202 from (139, -7)]
Frame Й	311 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [99 x 199 from (136, -6)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [99 x 199 from (136, -6)]
Frame Й	312 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	313 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (491, 54)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (491, 54)]
Frame Й	314 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (491, 54)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (491, 54)]
Frame Й	315 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	316 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	317 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	318 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	319 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	320 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	321 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	322 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	323 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	324 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	325 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	326 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (108, 25)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (108, 25)]
Frame Й	327 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	328 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	329 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	330 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	331 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	332 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	333 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	334 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	335 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [111 x 223 from (90, 48)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [111 x 223 from (90, 48)]
Frame Й	336 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [86 x 172 from (192, 320)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [86 x 172 from (192, 320)]
Frame Й	337 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [90 x 180 from (191, 315)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [90 x 180 from (191, 315)]
Frame Й	338 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [108 x 216 from (87, 60)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [108 x 216 from (87, 60)]
Frame Й	339 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	340 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	341 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [91 x 181 from (112, 301)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [91 x 181 from (112, 301)]
Frame Й	342 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [95 x 189 from (112, 295)]
+Object's Й: 1
 Coordinate: [95 x 190 from (194, 299)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [95 x 189 from (112, 295)]
+Object's Й: 1
 Coordinate: [95 x 190 from (194, 299)]
Frame Й	343 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [92 x 185 from (111, 296)]
+Object's Й: 1
 Coordinate: [96 x 192 from (192, 293)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [92 x 185 from (111, 296)]
+Object's Й: 1
 Coordinate: [96 x 192 from (192, 293)]
Frame Й	344 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [92 x 184 from (108, 297)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [92 x 184 from (108, 297)]
Frame Й	345 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	346 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	347 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 208 from (109, 265)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 208 from (109, 265)]
Frame Й	348 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (107, 262)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (107, 262)]
Frame Й	349 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [100 x 200 from (107, 256)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [100 x 200 from (107, 256)]
Frame Й	350 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (109, 248)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [103 x 206 from (109, 248)]
Frame Й	351 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [94 x 187 from (116, 260)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [94 x 187 from (116, 260)]
Frame Й	352 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [89 x 178 from (118, 264)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [89 x 178 from (118, 264)]
Frame Й	353 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [85 x 169 from (120, 267)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [85 x 169 from (120, 267)]
Frame Й	354 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	355 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	356 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	357 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	358 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	359 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	360 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	361 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [98 x 197 from (497, 108)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [98 x 197 from (497, 108)]
Frame Й	362 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	363 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [99 x 198 from (502, 116)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [99 x 198 from (502, 116)]
Frame Й	364 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [111 x 223 from (499, 97)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [111 x 223 from (499, 97)]
Frame Й	365 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	366 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	367 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	368 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	369 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	370 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	371 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	372 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	373 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	374 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	375 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	376 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	377 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	378 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	379 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [105 x 209 from (539, 129)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [105 x 209 from (539, 129)]
Frame Й	380 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (536, 131)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [106 x 212 from (536, 131)]
Frame Й	381 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	382 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	383 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	384 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	385 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	386 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	387 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [114 x 228 from (-7, 237)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [114 x 228 from (-7, 237)]
Frame Й	388 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (-7, 247)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [104 x 209 from (-7, 247)]
Frame Й	389 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [105 x 210 from (547, 171)]
+Object's Й: 1
 Coordinate: [105 x 209 from (-7, 251)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [105 x 210 from (547, 171)]
+Object's Й: 1
 Coordinate: [105 x 209 from (-7, 251)]
Frame Й	390 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [107 x 213 from (-7, 251)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [107 x 213 from (-7, 251)]
Frame Й	391 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [104 x 208 from (548, 178)]
+Object's Й: 1
 Coordinate: [104 x 207 from (-6, 261)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [104 x 208 from (548, 178)]
+Object's Й: 1
 Coordinate: [104 x 207 from (-6, 261)]
Frame Й	392 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [103 x 206 from (550, 180)]
+Object's Й: 1
 Coordinate: [104 x 207 from (-6, 264)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [103 x 206 from (550, 180)]
+Object's Й: 1
 Coordinate: [104 x 207 from (-6, 264)]
Frame Й	393 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (-6, 270)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (-6, 270)]
Frame Й	394 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	395 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (-6, 270)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [102 x 204 from (-6, 270)]
Frame Й	396 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [118 x 236 from (-30, 268)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [118 x 236 from (-30, 268)]
Frame Й	397 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	398 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	399 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	400 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	401 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	402 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	403 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	404 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	405 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	406 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	407 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	408 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [121 x 241 from (60, 218)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [121 x 241 from (60, 218)]
Frame Й	409 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	410 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	411 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	412 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [88 x 175 from (70, 234)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [88 x 175 from (70, 234)]
Frame Й	413 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [94 x 187 from (70, 226)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [94 x 187 from (70, 226)]
Frame Й	414 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [108 x 216 from (61, 213)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [108 x 216 from (61, 213)]
Frame Й	415 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (59, 212)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (59, 212)]
Frame Й	416 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (64, 206)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [110 x 220 from (64, 206)]
Frame Й	417 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [123 x 245 from (60, 190)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [123 x 245 from (60, 190)]
Frame Й	418 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [131 x 261 from (58, 175)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [131 x 261 from (58, 175)]
Frame Й	419 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [137 x 274 from (54, 167)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [137 x 274 from (54, 167)]
Frame Й	420 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [127 x 253 from (63, 181)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [127 x 253 from (63, 181)]
Frame Й	421 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [138 x 276 from (59, 161)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [138 x 276 from (59, 161)]
Frame Й	422 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [134 x 268 from (58, 158)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [134 x 268 from (58, 158)]
Frame Й	423 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [127 x 254 from (63, 162)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [127 x 254 from (63, 162)]
Frame Й	424 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [128 x 255 from (62, 161)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [128 x 255 from (62, 161)]
Frame Й	425 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	426 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	427 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	428 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [117 x 234 from (72, 167)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [117 x 234 from (72, 167)]
Frame Й	429 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [109 x 218 from (73, 168)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [109 x 218 from (73, 168)]
Frame Й	430 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [117 x 233 from (68, 161)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [117 x 233 from (68, 161)]
Frame Й	431 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [116 x 231 from (69, 153)]
+Object's Й: 1
 Coordinate: [118 x 236 from (213, 268)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [116 x 231 from (69, 153)]
+Object's Й: 1
 Coordinate: [118 x 236 from (213, 268)]
Frame Й	432 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [129 x 257 from (63, 138)]
+Object's Й: 1
 Coordinate: [113 x 227 from (218, 260)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [129 x 257 from (63, 138)]
+Object's Й: 1
 Coordinate: [113 x 227 from (218, 260)]
Frame Й	433 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [123 x 246 from (66, 144)]
+Object's Й: 1
 Coordinate: [113 x 226 from (221, 254)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [123 x 246 from (66, 144)]
+Object's Й: 1
 Coordinate: [113 x 226 from (221, 254)]
Frame Й	434 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [113 x 226 from (70, 154)]
+Object's Й: 1
 Coordinate: [117 x 235 from (216, 247)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [113 x 226 from (70, 154)]
+Object's Й: 1
 Coordinate: [117 x 235 from (216, 247)]
Frame Й	435 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [119 x 238 from (66, 148)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [119 x 238 from (66, 148)]
Frame Й	436 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (66, 148)]
+Object's Й: 1
 Coordinate: [117 x 234 from (218, 240)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (66, 148)]
+Object's Й: 1
 Coordinate: [117 x 234 from (218, 240)]
Frame Й	437 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [124 x 249 from (67, 133)]
+Object's Й: 1
 Coordinate: [125 x 249 from (218, 234)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [124 x 249 from (67, 133)]
+Object's Й: 1
 Coordinate: [125 x 249 from (218, 234)]
Frame Й	438 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [120 x 239 from (70, 136)]
+Object's Й: 1
 Coordinate: [129 x 257 from (217, 225)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [120 x 239 from (70, 136)]
+Object's Й: 1
 Coordinate: [129 x 257 from (217, 225)]
Frame Й	439 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [117 x 233 from (68, 139)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [117 x 233 from (68, 139)]
Frame Й	440 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [111 x 223 from (69, 138)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [111 x 223 from (69, 138)]
Frame Й	441 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (68, 132)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (68, 132)]
Frame Й	442 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (68, 132)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (68, 132)]
Frame Й	443 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (66, 125)]
+Object's Й: 1
 Coordinate: [104 x 207 from (244, 213)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (66, 125)]
+Object's Й: 1
 Coordinate: [104 x 207 from (244, 213)]
Frame Й	444 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (66, 125)]
+Object's Й: 1
 Coordinate: [104 x 209 from (247, 208)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [119 x 238 from (66, 125)]
+Object's Й: 1
 Coordinate: [104 x 209 from (247, 208)]
Frame Й	445 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [117 x 234 from (72, 123)]
+Object's Й: 1
 Coordinate: [112 x 224 from (242, 200)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [117 x 234 from (72, 123)]
+Object's Й: 1
 Coordinate: [112 x 224 from (242, 200)]
Frame Й	446 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (242, 194)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [115 x 230 from (242, 194)]
Frame Й	447 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [99 x 197 from (84, 132)]
+Object's Й: 1
 Coordinate: [107 x 214 from (248, 198)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [99 x 197 from (84, 132)]
+Object's Й: 1
 Coordinate: [107 x 214 from (248, 198)]
Frame Й	448 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [99 x 197 from (84, 132)]
+Object's Й: 1
 Coordinate: [114 x 227 from (246, 185)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [99 x 197 from (84, 132)]
+Object's Й: 1
 Coordinate: [114 x 227 from (246, 185)]
Frame Й	449 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [99 x 198 from (85, 130)]
+Object's Й: 1
 Coordinate: [114 x 229 from (247, 183)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [99 x 198 from (85, 130)]
+Object's Й: 1
 Coordinate: [114 x 229 from (247, 183)]
Frame Й	450 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [99 x 198 from (85, 130)]
+Object's Й: 1
 Coordinate: [118 x 236 from (245, 179)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [99 x 198 from (85, 130)]
+Object's Й: 1
 Coordinate: [118 x 236 from (245, 179)]
Frame Й	451 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [115 x 230 from (246, 176)]
+Object's Й: 1
 Coordinate: [112 x 225 from (76, 112)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [115 x 230 from (246, 176)]
+Object's Й: 1
 Coordinate: [112 x 225 from (76, 112)]
Frame Й	452 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [114 x 228 from (77, 108)]
+Object's Й: 1
 Coordinate: [110 x 220 from (254, 172)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [114 x 228 from (77, 108)]
+Object's Й: 1
 Coordinate: [110 x 220 from (254, 172)]
Frame Й	453 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [100 x 200 from (258, 177)]
+Object's Й: 1
 Coordinate: [110 x 220 from (82, 115)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [100 x 200 from (258, 177)]
+Object's Й: 1
 Coordinate: [110 x 220 from (82, 115)]
Frame Й	454 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [94 x 189 from (262, 173)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [94 x 189 from (262, 173)]
Frame Й	455 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [106 x 212 from (86, 112)]
+Object's Й: 1
 Coordinate: [93 x 185 from (263, 167)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [106 x 212 from (86, 112)]
+Object's Й: 1
 Coordinate: [93 x 185 from (263, 167)]
Frame Й	456 ----------------------
Object's on frame in detect:	1
+Object's Й: 0
 Coordinate: [117 x 234 from (255, 145)]
Object's on frame in detect_filter:	1
+Object's Й: 0
 Coordinate: [117 x 234 from (255, 145)]
Frame Й	457 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [99 x 198 from (88, 111)]
+Object's Й: 1
 Coordinate: [104 x 209 from (261, 154)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [99 x 198 from (88, 111)]
+Object's Й: 1
 Coordinate: [104 x 209 from (261, 154)]
Frame Й	458 ----------------------
Object's on frame in detect:	0
Object's on frame in detect_filter:	0
Frame Й	459 ----------------------
Object's on frame in detect:	2
+Object's Й: 0
 Coordinate: [109 x 219 from (259, 144)]
+Object's Й: 1
 Coordinate: [92 x 184 from (91, 108)]
Object's on frame in detect_filter:	2
+Object's Й: 0
 Coordinate: [109 x 219 from (259, 144)]
+Object's Й: 1
 Coordinate: [92 x 184 from (91, 108)]
